,name,equake_near,material type,age of bridge,bridge type,magnitude,d to epicenter in miles,damaged,Damage level
61,"Interstate 5 (Palmdale interchange, California 14), 1947",9km ENE of Santa Clarita,2,30,1,4.0,10.8,0,1
62,"Interstate 5 (Palmdale interchange, California 14), 1947",6km NNE of Chatsworth,2,47,1,5.1,4.9,0,1
63,"Interstate 5 (Palmdale interchange, California 14), 1947",1km SSE of Pasadena,2,41,1,5.0,25.1,0,1
64,"Interstate 5 (Palmdale interchange, California 14), 1947",7km NW of Westwood,2,67,1,4.2,17.0,0,1
65,"Interstate 5 (Palmdale interchange, California 14), 1947",7km NE of Lake View,2,24,1,3.9,10.9,0,1
66,"Interstate 5 (Palmdale interchange, California 14), 1947",2km NW of Sunland,2,24,1,4.0,11.3,0,1
67,"Interstate 5 (Palmdale interchange, California 14), 1947",5km N of Pacoima,2,47,1,4.5,3.5,0,1
68,"Interstate 5 (Foothill freeway interchange), 1947",1971 San Fernando,2,24,1,6.6,5.8,1,3
69,"Interstate 5 (Foothill freeway interchange), 1947",12km N of Bradbury,2,44,1,4.0,16.2,0,1
70,"Interstate 5 (Foothill freeway interchange), 1947",1km S of San Fernando,2,17,1,3.8,4.3,0,1
71,"Interstate 5 (Foothill freeway interchange), 1947",10km SSW of Valencia,2,47,1,5.1,8.2,0,1
72,"Interstate 5 (Foothill freeway interchange), 1947",8km ESE of Santa Clarita,2,24,1,4.4,5.8,0,1
73,"Interstate 5 (Foothill freeway interchange), 1947",7km NNE of Simi Valley,2,47,1,5.6,11.3,0,1
74,"Interstate 5 (Foothill freeway interchange), 1947",4km N of Simi Valley,2,47,1,4.1,14.4,0,1
75,"Interstate 5 (Foothill freeway interchange), 1947",2km SSE of Fillmore,2,3,1,3.9,24.5,0,1
76,"Interstate 5 (Foothill freeway interchange), 1947",6km SW of Valencia,2,47,1,3.9,9.7,0,1
77,"Interstate 5 (Foothill freeway interchange), 1947",7km N of Pacoima,2,24,1,4.2,4.1,0,1
78,"I-880 Cypress Street Viaduct, 1930",1989 Loma Prieta,2,32,1,6.9,58.9,1,3
79,"I-880 Cypress Street Viaduct, 1930",Bay Area,2,77,1,4.2,11.2,0,1
80,"I-880 Cypress Street Viaduct, 1930",North California,2,25,1,5.8,44.5,0,1
81,"I-880 Cypress Street Viaduct, 1930",North California,2,58,1,5.3,52.6,0,1
82,"I-880 Cypress Street Viaduct, 1930",Bay Area,2,50,1,5.8,26.1,0,1
83,"I-880 Cypress Street Viaduct, 1930",Bay Area,2,50,1,5.4,32.7,0,1
84,"I-880 Cypress Street Viaduct, 1930",3km NNE of Fremont,2,85,1,4.0,24.2,0,1
85,"I-880 Cypress Street Viaduct, 1930",2km SE of Berkeley,2,88,1,4.4,3.0,0,1
86,"I-880 Cypress Street Viaduct, 1930",South Napa,2,84,1,6.0,27.2,0,1
87,"I-880 Cypress Street Viaduct, 1930",Bay Area,2,59,1,4.3,28.6,0,1
88,"I-880 Cypress Street Viaduct, 1930",Northern California,2,54,1,6.2,48.1,0,1
89,"Struve Slough Bridge, 1964",1989 Loma Prieta,2,25,1,6.9,10.4,1,3
90,"Struve Slough Bridge, 1964",Central California,2,27,1,5.2,80.6,0,1
91,"Struve Slough Bridge, 1964",3km WNW of Prunedale,2,5,1,4.3,9.4,0,1
92,"Struve Slough Bridge, 1964",Northern California,2,22,1,5.7,23.2,0,1
93,"Struve Slough Bridge, 1964",Central California,2,20,1,5.1,37.3,0,1
94,"Struve Slough Bridge, 1964",2km ESE of Aromas,2,53,1,4.0,9.3,0,1
95,"Struve Slough Bridge, 1964",Central California,2,36,1,4.4,24.0,0,1
96,"Struve Slough Bridge, 1964",9km W of Chualar,2,9,1,4.2,25.7,0,1
97,"Struve Slough Bridge, 1964",8km N of Cholame,2,2,1,5.5,112.9,0,1
98,"Struve Slough Bridge, 1964",Northern California,2,10,1,3.7,14.0,0,1
99,"Struve Slough Bridge, 1964",Central California,2,22,1,5.5,28.0,0,1
100,"Miles Glacier Bridge, 1910",1964 Alaska,1,54,2,9.2,89.0,1,3
101,"Miles Glacier Bridge, 1910",Southern Alaska,1,69,2,7.1,107.0,0,1
102,"Miles Glacier Bridge, 1910",Southern Alaska,1,24,2,6.9,116.9,0,1
103,"Miles Glacier Bridge, 1910",Southern Alaska,1,60,2,6.0,28.9,0,1
104,"Miles Glacier Bridge, 1910",Southern Alaska,1,15,2,6.6,104.9,0,1
105,"Miles Glacier Bridge, 1910",Kenai Peninsula,1,23,2,6.4,124.0,0,1
106,"Miles Glacier Bridge, 1910",Southern Alaska,1,18,2,6.8,78.4,0,1
107,"Miles Glacier Bridge, 1910",Southern Alaska,1,64,2,4.1,103.5,0,1
108,"Miles Glacier Bridge, 1910",Southern Alaska,1,64,2,3.5,45.3,0,1
109,"Miles Glacier Bridge, 1910",Kenai Peninsula,1,39,2,6.8,161.5,0,1
110,"Miles Glacier Bridge, 1910",Southern Alaska,1,63,2,3.7,68.4,0,1
111,"Miles Glacier Bridge, 1910",Southern Alaska,1,55,2,5.6,53.6,0,1
112,"Miles Glacier Bridge, 1910",Southern Alaska,1,63,2,3.6,54.2,0,1
113,"Miles Glacier Bridge, 1910",Southern Alaska,1,68,2,4.3,87.7,0,1
114,"Miles Glacier Bridge, 1910",Southern Alaska,1,64,2,4.7,57.2,0,1
115,"Nishinomiyako Bridge, 1994","1995, Kobe",1,1,4,6.9,17.7,1,3
116,"Nishinomiyako Bridge, 1994",Coast of Western Honshu,1,19,4,4.4,18.3,0,1
117,"Nishinomiyako Bridge, 1994",Coast of Western Honshu,1,14,4,4.2,7.9,0,1
118,"Nishinomiyako Bridge, 1994",Coast of Western Honshu,1,11,4,3.9,7.9,0,1
119,"Nishinomiyako Bridge, 1994",6km WNW of Sumoto,1,19,4,5.8,37.7,0,1
120,"Nishinomiyako Bridge, 1994",Coast of Western Honshu,1,3,4,4.6,7.2,0,1
121,"Nishinomiyako Bridge, 1994",Western Honshu,1,13,4,5.1,51.3,0,1
122,"Nishinomiyako Bridge, 1994",Western Honshu,1,6,4,5.5,57.3,0,1
123,"Nishinomiyako Bridge, 1994",6km S of Sumoto,1,19,4,4.1,38.7,0,1
124,"Nishinomiyako Bridge, 1994",2km E of Sumoto,1,20,4,4.6,34.2,0,1
125,"Nishinomiyako Bridge, 1994",Coast of Western Honshu,1,4,4,3.6,16.2,0,1
126,"Nishinomiyako Bridge, 1994",Coast of Western Honshu,1,9,4,4.3,29.7,0,1
127,"Nishinomiyako Bridge, 1994",Coast of Western Honshu,1,16,4,4.9,31.9,0,1
128,"Nishinomiyako Bridge, 1994",Coast of Western Honshu,1,11,4,3.8,26.0,0,1
129,"Nishinomiyako Bridge, 1994",9km NNE of Himeji,1,19,4,4.2,37.0,0,1
130,"Rokko Island Bridge, 1993","1995, Kobe",1,2,4,6.9,13.9,1,2
131,"Rokko Island Bridge, 1993",1km NW of Hirakata,1,25,4,5.5,22.5,0,1
132,"Rokko Island Bridge, 1993",3km ESE of Hirakata,1,21,4,4.0,24.5,0,1
133,"Rokko Island Bridge, 1993",2km NNW of Neyagawa,1,25,4,4.6,20.1,0,1
134,"Rokko Island Bridge, 1993",1km ENE of Neyagawa,1,25,4,3.7,21.8,0,1
135,"Rokko Island Bridge, 1993",Coast of Western Honshu,1,15,4,4.2,12.5,0,1
136,"Rokko Island Bridge, 1993",Coast of Western Honshu,1,13,4,3.9,19.3,0,1
137,"Rokko Island Bridge, 1993",Coast of Western Honshu,1,1,4,4.9,23.2,0,1
138,"Rokko Island Bridge, 1993",4km SSW of Kameoka,1,25,4,3.8,24.5,0,1
139,"Rokko Island Bridge, 1993",4km W of Kameoka,1,21,4,4.4,25.5,0,1
140,"Rokko Island Bridge, 1993",Western Honshu,1,10,4,5.4,42.8,0,1
141,"Rokko Island Bridge, 1993",Western Honshu,1,6,4,5.1,47.0,0,1
142,"Rokko Island Bridge, 1993",Western Honshu,1,7,4,4.5,35.5,0,1
143,"Rokko Island Bridge, 1993",Western Honshu,1,14,4,4.0,40.2,0,1
144,"Rokko Island Bridge, 1993",Coast of Western Honshu,1,10,4,4.3,29.4,0,1
145,"Mukogawa Bridge, 1963","1995, Kobe",1,32,1,6.9,20.5,1,2
146,"Mukogawa Bridge, 1963",Coast of Western Honshu,1,22,1,4.2,11.1,0,1
147,"Mukogawa Bridge, 1963",Coast of Western Honshu,1,22,1,3.7,10.1,0,1
148,"Mukogawa Bridge, 1963",Coast of Western Honshu,1,24,1,4.7,32.5,0,1
149,"Mukogawa Bridge, 1963",Coast of Western Honshu,1,26,1,3.4,38.9,0,1
150,"Mukogawa Bridge, 1963",Coast of Western Honshu,1,26,1,4.0,19.1,0,1
151,"Mukogawa Bridge, 1963",Coast of Western Honshu,1,31,1,3.6,14.4,0,1
152,"Mukogawa Bridge, 1963",Coast of Western Honshu,1,15,1,4.8,17.1,0,1
153,"Mukogawa Bridge, 1963",Coast of Western Honshu,1,21,1,4.8,18.6,0,1
154,"Mukogawa Bridge, 1963",Western Honshu,1,24,1,4.9,23.8,0,1
155,"Mukogawa Bridge, 1963",Western Honshu,1,31,1,4.2,29.4,0,1
156,"Mukogawa Bridge, 1963",Western Honshu,1,21,1,4.1,31.2,0,1
157,"Mukogawa Bridge, 1963",Western Honshu,1,21,1,4.6,40.2,0,1
158,"Mukogawa Bridge, 1963",Western Honshu,1,22,1,4.8,40.3,0,1
159,"Mukogawa Bridge, 1963",Western Honshu,1,26,1,3.6,32.6,0,1
160,"Takatori, Hanshin Route 3, 1962","1995, Kobe",1,33,1,6.9,7.8,1,2
161,"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,1,51,1,4.4,5.6,0,1
162,"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,1,46,1,4.2,4.9,0,1
163,"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,1,35,1,4.6,10.5,0,1
164,"Takatori, Hanshin Route 3, 1962",6km WNW of Sumoto,1,51,1,5.8,25.9,0,1
165,"Takatori, Hanshin Route 3, 1962",6km S of Sumoto,1,51,1,4.1,28.1,0,1
166,"Takatori, Hanshin Route 3, 1962",2km E of Sumoto,1,52,1,4.6,23.4,0,1
167,"Takatori, Hanshin Route 3, 1962",1km NW of Hirakata,1,56,1,5.5,31.3,0,1
168,"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,1,46,1,4.2,20.7,0,1
169,"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,1,27,1,4.0,16.2,0,1
170,"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,1,16,1,4.2,26.6,0,1
171,"Yuriage Bridge, 1962","2011, Tohoku",2,49,1,9.1,77.8,1,2
172,"Yuriage Bridge, 1962","1978, Miyagi",2,16,1,7.7,58.7,1,2
173,"Yuriage Bridge, 1962",East Coast of Honshu,2,43,1,6.5,64.2,0,1
174,"Yuriage Bridge, 1962",Eastern Honshu,2,41,1,6.1,16.2,0,1
175,"Yuriage Bridge, 1962",Eastern Honshu,2,36,1,5.1,26.4,0,1
176,"Yuriage Bridge, 1962",Eastern Honshu,2,18,1,5.0,25.5,0,1
177,"Yuriage Bridge, 1962",East Coast of Honshu,2,22,1,3.9,16.7,0,1
178,"Yuriage Bridge, 1962",East Coast of Honshu,2,15,1,5.5,38.1,0,1
179,"Yuriage Bridge, 1962",East Coast of Honshu,2,13,1,5.1,21.9,0,1
180,"Yuriage Bridge, 1962",50km NE of Namie,2,51,1,6.0,41.9,0,1
181,"Yuriage Bridge, 1962",East Coast of Honshu,2,24,1,6.0,71.2,0,1
182,"Yuriage Bridge, 1962",East Coast of Honshu,2,35,1,5.5,54.3,0,1
183,"Yuriage Bridge, 1962",East Coast of Honshu,2,19,1,6.4,93.7,0,1
184,"Yuriage Bridge, 1962",East Coast of Honshu,2,14,1,6.0,70.6,0,1
185,"Yuriage Bridge, 1962",East Coast of Honshu,2,1,1,6.5,60.2,0,1
186,"Yuriage Bridge, 1962",East Coast of Honshu,2,25,1,4.8,19.4,0,1
187,"Yuriage Bridge, 1962",East Coast of Honshu,2,16,1,4.8,13.2,0,1
188,"Yuriage Bridge, 1962",Eastern Honshu,2,12,1,4.3,4.9,0,1
189,"Sendai-Ohashi Bridge, 1965","1978, Miyagi",1,13,1,7.7,61.2,1,2
190,"Sendai-Ohashi Bridge, 1965",Eastern Honshu,1,42,1,4.1,5.6,0,1
191,"Sendai-Ohashi Bridge, 1965",Eastern Honshu,1,9,1,4.3,6.6,0,1
192,"Sendai-Ohashi Bridge, 1965",Eastern Honshu,1,38,1,6.1,14.1,0,1
193,"Sendai-Ohashi Bridge, 1965",Eastern Honshu,1,38,1,5.5,15.3,0,1
194,"Sendai-Ohashi Bridge, 1965",Eastern Honshu,1,24,1,4.5,5.4,0,1
195,"Sendai-Ohashi Bridge, 1965",Eastern Honshu,1,25,1,4.0,6.8,0,1
196,"Sendai-Ohashi Bridge, 1965",Eastern Honshu,1,15,1,5.0,22.1,0,1
197,"Sendai-Ohashi Bridge, 1965",Eastern Honshu,1,33,1,5.1,22.9,0,1
198,"Sendai-Ohashi Bridge, 1965",East Coast of Honshu,1,10,1,5.1,25.8,0,1
199,"Sendai-Ohashi Bridge, 1965",East Coast of Honshu,1,35,1,5.3,28.7,0,1
200,"Sendai-Ohashi Bridge, 1965",Eastern Honshu,1,36,1,3.9,24.8,0,1
201,"Sendai-Ohashi Bridge, 1965",East Coast of Honshu,1,28,1,5.8,31.1,0,1
202,"Sendai-Ohashi Bridge, 1965",East Coast of Honshu,1,12,1,5.5,38.3,0,1
203,"Tennoh Bridge, 1959","1978, Miyagi",1,19,1,7.7,45.2,1,2
204,"Tennoh Bridge, 1959",East Coast of Honshu,1,18,1,5.5,11.0,0,1
205,"Tennoh Bridge, 1959",East Coast of Honshu,1,15,1,4.4,10.5,0,1
206,"Tennoh Bridge, 1959",East Coast of Honshu,1,3,1,6.1,17.6,0,1
207,"Tennoh Bridge, 1959",East Coast of Honshu,1,15,1,4.5,20.0,0,1
208,"Tennoh Bridge, 1959",East Coast of Honshu,1,14,1,4.5,13.0,0,1
209,"Tennoh Bridge, 1959",East Coast of Honshu,1,17,1,6.0,58.6,0,1
210,"Tennoh Bridge, 1959",East Coast of Honshu,1,16,1,5.1,39.0,0,1
211,"Tennoh Bridge, 1959",Eastern Honshu,1,15,1,4.3,33.3,0,1
212,"Tennoh Bridge, 1959",Eastern Honshu,1,15,1,5.3,60.3,0,1
213,"Tennoh Bridge, 1959",East Coast of Honshu,1,4,1,6.5,62.3,0,1
214,"Tennoh Bridge, 1959",East Coast of Honshu,1,16,1,5.0,36.2,0,1
215,"Tennoh Bridge, 1959",East Coast of Honshu,1,17,1,4.8,40.3,0,1
216,"Tennoh Bridge, 1959",East Coast of Honshu,1,9,1,6.3,46.5,0,1
217,"Tennoh Bridge, 1959",East Coast of Honshu,1,13,1,5.7,46.5,0,1
