Name of the bridge,Earthquake,x1 = Material Type,x2 = Age (yr),x3 = Bridge Type,x4 = Earthquake Magnitude,x5 = Distance to epicenter (miles),y1 = Damaged or not?,y2 = Damage Level,,,,,,
"State Route 134 (Ventura Freeway), US 101",2km SSW of Rosemead,II,16,I,5.9,20.4,0,I,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947","1971, San Fernendo",II,24,I,6.6,7.2,1,III,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947",4km SSW of Palmdale,II,22,I,4.4,26.7,0,I,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947",8km ESE of Piru,II,47,I,5.1,33.4,0,I,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947",8km N of Castaic,II,9,I,4.1,17.1,0,I,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947",9km ENE of Santa Clarita,II,30,I,4,10.8,0,I,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947",6km NNE of Chatsworth,II,47,I,5.1,4.9,0,I,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947",1km SSE of Pasadena,II,41,I,5,25.1,0,I,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947",7km NW of Westwood,II,67,I,4.2,17,0,I,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947",7km NE of Lake View,II,24,I,3.9,10.9,0,I,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947",2km NW of Sunland,II,24,I,4,11.3,0,I,,,,,,
"Interstate 5 (Palmdale interchange, California 14), 1947",5km N of Pacoima,II,47,I,4.5,3.5,0,I,,,,,,
"Interstate 5 (Foothill freeway interchange), 1947",1971 San Fernando,II,24,I,6.6,5.8,1,III,,,,,,
"Interstate 5 (Foothill freeway interchange), 1947",12km N of Bradbury,II,44,I,4,16.2,0,I,,,,,,
"Interstate 5 (Foothill freeway interchange), 1947",1km S of San Fernando,II,17,I,3.8,4.3,0,I,,,,,,
"Interstate 5 (Foothill freeway interchange), 1947",10km SSW of Valencia,II,47,I,5.1,8.2,0,I,,,,,,
"Interstate 5 (Foothill freeway interchange), 1947",8km ESE of Santa Clarita,II,24,I,4.4,5.8,0,I,,,,,,
"Interstate 5 (Foothill freeway interchange), 1947",7km NNE of Simi Valley,II,47,I,5.6,11.3,0,I,,,,,,
"Interstate 5 (Foothill freeway interchange), 1947",4km N of Simi Valley,II,47,I,4.1,14.4,0,I,,,,,,
"Interstate 5 (Foothill freeway interchange), 1947",2km SSE of Fillmore,II,3,I,3.9,24.5,0,I,,,,,,
"Interstate 5 (Foothill freeway interchange), 1947",6km SW of Valencia,II,47,I,3.9,9.7,0,I,,,,,,
"Interstate 5 (Foothill freeway interchange), 1947",7km N of Pacoima,II,24,I,4.2,4.1,0,I,,,,,,
"I-880 Cypress Street Viaduct, 1930",1989 Loma Prieta,II,32,I,6.9,58.9,1,III,,,,,,
"I-880 Cypress Street Viaduct, 1930",Bay Area,II,77,I,4.2,11.2,0,I,,,,,,
"I-880 Cypress Street Viaduct, 1930",North California,II,25,I,5.8,44.5,0,I,,,,,,
"I-880 Cypress Street Viaduct, 1930",North California,II,58,I,5.3,52.6,0,I,,,,,,
"I-880 Cypress Street Viaduct, 1930",Bay Area,II,50,I,5.8,26.1,0,I,,,,,,
"I-880 Cypress Street Viaduct, 1930",Bay Area,II,50,I,5.4,32.7,0,I,,,,,,
"I-880 Cypress Street Viaduct, 1930",3km NNE of Fremont,II,85,I,4,24.2,0,I,,,,,,
"I-880 Cypress Street Viaduct, 1930",2km SE of Berkeley,II,88,I,4.4,3,0,I,,,,,,
"I-880 Cypress Street Viaduct, 1930",South Napa,II,84,I,6,27.2,0,I,,,,,,
"I-880 Cypress Street Viaduct, 1930",Bay Area,II,59,I,4.3,28.6,0,I,,,,,,
"I-880 Cypress Street Viaduct, 1930",Northern California,II,54,I,6.2,48.1,0,I,,,,,,
"Struve Slough Bridge, 1964",1989 Loma Prieta,II,25,I,6.9,10.4,1,III,,,,,,
"Struve Slough Bridge, 1964",Central California,II,27,I,5.2,80.6,0,I,,,,,,
"Struve Slough Bridge, 1964",3km WNW of Prunedale,II,5,I,4.3,9.4,0,I,,,,,,
"Struve Slough Bridge, 1964",Northern California,II,22,I,5.7,23.2,0,I,,,,,,
"Struve Slough Bridge, 1964",Central California,II,20,I,5.1,37.3,0,I,,,,,,
"Struve Slough Bridge, 1964",2km ESE of Aromas,II,53,I,4,9.3,0,I,,,,,,
"Struve Slough Bridge, 1964",Central California,II,36,I,4.4,24,0,I,,,,,,
"Struve Slough Bridge, 1964",9km W of Chualar,II,9,I,4.2,25.7,0,I,,,,,,
"Struve Slough Bridge, 1964",8km N of Cholame,II,2,I,5.5,112.9,0,I,,,,,,
"Struve Slough Bridge, 1964",Northern California,II,10,I,3.7,14,0,I,,,,,,
"Struve Slough Bridge, 1964",Central California,II,22,I,5.5,28,0,I,,,,,,
"Miles Glacier Bridge, 1910",1964 Alaska,I,54,II,9.2,89,1,III,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,69,II,7.1,107,0,I,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,24,II,6.9,116.9,0,I,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,60,II,6,28.9,0,I,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,15,II,6.6,104.9,0,I,,,,,,
"Miles Glacier Bridge, 1910",Kenai Peninsula,I,23,II,6.4,124,0,I,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,18,II,6.8,78.4,0,I,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,64,II,4.1,103.5,0,I,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,64,II,3.5,45.3,0,I,,,,,,
"Miles Glacier Bridge, 1910",Kenai Peninsula,I,39,II,6.8,161.5,0,I,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,63,II,3.7,68.4,0,I,,,,,,
